,Unnamed: 0_x,Unnamed: 0.1,GISJOIN,COUNTY,Median age: Total,total_population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Lives alone,Householder living with spouse or spouse of householder,Householder living with unmarried partner or unmarried partner of householder,No schooling completed,Regular high school diploma,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,English only,Spanish,In labor force: Civilian labor force: Unemployed,Below Poverty Line,longitude,latitude,Unnamed: 0_y,percapita-income
37,37,37,17075,Iroquois County,44.3,28457,93.0,1.0,0.0,0.0,0.0,12.0,43.0,6.0,0.0,26.0,7.000000000000001,7.000000000000001,3.0,1.0,0.0,39.0,2.0,3.0,15.0,-87.82430440280777,40.747226075066564,37,26480
38,38,38,17077,Jackson County,31.1,59115,77.0,15.0,0.0,3.0,0.0,15.0,31.0,5.0,0.0,12.0,5.0,10.0,7.000000000000001,1.0,3.0,36.0,1.0,4.0,26.0,-89.38211565681097,37.78513965456972,38,23455
39,39,39,17079,Jasper County,43.0,9608,99.0,0.0,0.0,0.0,0.0,10.0,45.0,3.0,0.0,23.0,10.0,8.0,3.0,0.0,0.0,38.0,1.0,2.0,12.0,-88.15381140346823,39.01003108665329,39,25806
40,40,40,17081,Jefferson County,40.9,38358,88.0,9.0,0.0,1.0,0.0,13.0,38.0,5.0,0.0,18.0,8.0,7.000000000000001,3.0,1.0,1.0,38.0,1.0,4.0,18.0,-88.92400803066491,38.30052025071338,40,24617
41,41,41,17083,Jersey County,42.5,22215,97.0,0.0,0.0,0.0,0.0,10.0,44.0,4.0,0.0,22.0,9.0,9.0,4.0,0.0,0.0,38.0,1.0,3.0,9.0,-90.35668339682604,39.08566176642879,41,27528
42,42,42,17085,Jo Daviess County,49.4,22046,98.0,0.0,0.0,0.0,0.0,13.0,50.0,5.0,0.0,24.0,6.0,11.0,5.0,1.0,0.0,43.0,1.0,2.0,8.0,-90.2125864415179,42.36581607741071,42,32401
43,43,43,17087,Johnson County,42.5,12899,88.0,11.0,0.0,0.0,0.0,10.0,38.0,2.0,1.0,17.0,6.0,8.0,3.0,1.0,0.0,34.0,0.0,3.0,11.0,-88.88088929884188,37.459631195448935,43,20726
44,44,44,17089,Kane County,36.6,529402,72.0,6.0,0.0,4.0,0.0,7.000000000000001,39.0,4.0,1.0,13.0,5.0,13.0,6.0,1.0,1.0,24.0,7.000000000000001,3.0,10.0,-88.42863845403886,41.93890445892596,44,33486
45,45,45,17091,Kankakee County,37.7,110801,80.0,15.0,0.0,1.0,0.0,10.0,35.0,5.0,1.0,19.0,6.0,8.0,4.0,1.0,0.0,33.0,2.0,4.0,14.000000000000002,-87.86179827305044,41.13770468524015,45,26150
46,46,46,17093,Kendall County,34.5,122933,83.0,7.000000000000001,0.0,3.0,0.0,5.0,41.0,4.0,0.0,13.0,6.0,14.000000000000002,7.000000000000001,1.0,0.0,26.0,4.0,3.0,6.0,-88.42883359365776,41.590542047217006,46,33369
